catalog_id,heuristic,k,n_users,mean_rank,ndcg@5,ndcg@10,recall@5,recall@10
olist_furniture_decor,content_knn_3,1,124,956.8387,0.00509,0.00509,0.00806,0.00806
olist_furniture_decor,content_knn_5,1,124,956.8387,0.00509,0.00509,0.00806,0.00806
olist_furniture_decor,last_item_nbhd,1,124,956.8387,0.00509,0.00509,0.00806,0.00806
olist_furniture_decor,pop_scaled_content,1,124,959.0726,0.00806,0.00806,0.00806,0.00806
olist_furniture_decor,co_purchase,1,124,966.9597,0.00806,0.00806,0.00806,0.00806
olist_furniture_decor,lambda_hybrid_0.25,1,124,957.9677,0.00312,0.00312,0.00806,0.00806
olist_furniture_decor,lambda_hybrid_0.5,1,124,957.7419,0.00806,0.00806,0.00806,0.00806
olist_furniture_decor,lambda_hybrid_0.75,1,124,957.7258,0.00806,0.00806,0.00806,0.00806
olist_furniture_decor,active_elic2,1,124,,,,,
olist_furniture_decor,pop_global,2,124,941.0806,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_0.1,2,124,942.9839,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_0.5,2,124,942.9839,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_1.0,2,124,942.9839,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_category,2,124,941.0806,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_price,2,124,940.9032,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,content_knn_1,2,124,934.5726,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,content_knn_3,2,124,934.5726,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,content_knn_5,2,124,934.5726,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,last_item_nbhd,2,124,934.5726,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_scaled_content,2,124,933.5887,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,co_purchase,2,124,946.3952,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,lambda_hybrid_0.25,2,124,933.0565,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,lambda_hybrid_0.5,2,124,932.5726,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,lambda_hybrid_0.75,2,124,932.5242,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,active_elic2,2,124,,,,,
olist_furniture_decor,pop_global,3,59,975.7966,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_0.1,3,59,974.2203,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_0.5,3,59,974.2203,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_1.0,3,59,974.2203,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_category,3,59,975.7966,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_price,3,59,975.7966,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,content_knn_1,3,59,967.7627,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,content_knn_3,3,59,967.7627,0.00000,0.00000,0.00000,0.00000
